rsprot packet-codec generation status
revisions 221-239; 215 packets emitted, 3 refused

--- emitted (prot, file, dir, layouts, revisions covered) ---
  rev221 out  camera/CamMoveToEasedEncoder.kt                              pboolean writes a computed expression `(!m->maintain_fixed_altitude)`, which has no field to decode back into
  rev221 out  clan/ClanChannelDeltaEncoder.kt                              when over a sealed type (is ClanChannelDelta.ClanChannelDeltaAddUserEvent): no discriminator field on the wire, so decoding would have to infer the arm
  rev221 out  clan/ClanChannelFullEncoder.kt                               when over a sealed type (is ClanChannelFull.ClanChannelFullJoinUpdate): no discriminator field on the wire, so decoding would have to infer the arm
  rev221 out  clan/ClanSettingsDeltaEncoder.kt                             when over a sealed type (is ClanSettingsDelta.ClanSettingDeltaSetClanOwnerUpdate): no discriminator field on the wire, so decoding would have to infer the arm
  rev221 out  clan/ClanSettingsFullEncoder.kt                              when over a sealed type (is ClanSettingsFull.ClanSettingsFullJoinUpdate): no discriminator field on the wire, so decoding would have to infer the arm
  rev221 out  clan/MessageClanChannelEncoder.kt                            unmodeled call: provide(...)
  rev221 out  clan/MessageClanChannelSystemEncoder.kt                      unmodeled call: provide(...)
  rev221 out  clan/VarClanEncoder.kt                                       when over a sealed type (is VarClan.VarClanIntData): no discriminator field on the wire, so decoding would have to infer the arm
  rev221 out  friendchat/MessageFriendChannelEncoder.kt                    unmodeled call: provide(...)
  rev221 out  friendchat/UpdateFriendChatChannelFullV1Encoder.kt           when over a sealed type (is UpdateFriendChatChannelFullV1.JoinUpdate): no discriminator field on the wire, so decoding would have to infer the arm
  rev221 out  friendchat/UpdateFriendChatChannelFullV2Encoder.kt           when over a sealed type (is UpdateFriendChatChannelFullV2.JoinUpdate): no discriminator field on the wire, so decoding would have to infer the arm
  rev221 out  friendchat/UpdateFriendChatChannelSingleUserEncoder.kt       internal error: SyntaxError: trailing tokens: [('ident', 'is'), ('ident', 'UpdateFriendChatChannelSingleUser'), ('op', '.'), ('ident', 'AddedFriendChatUser')]
  rev221 out  inv/UpdateInvFullEncoder.kt                                  unmodeled member access: .NULL
  rev221 out  inv/UpdateInvPartialEncoder.kt                               unmodeled call: getSlot(...)
  rev221 out  map/RebuildNormalEncoder.kt                                  internal error: SyntaxError: trailing tokens: [('ident', 'is'), ('ident', 'RebuildLogin')]
  rev221 out  map/RebuildRegionEncoder.kt                                  val without '=': val (mapsquares, xteas) = distinctMapsquares.get()
  rev221 out  misc/client/HintArrowEncoder.kt                              when over a sealed type (is HintArrow.NpcHintArrow): no discriminator field on the wire, so decoding would have to infer the arm
