source,line,exclusive_seconds,exclusive_percent
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,11920,0.035134,0.058621
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,1137,0.035090,0.058547
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,553,0.034212,0.057082
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,110,0.034191,0.057047
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,1635,0.034176,0.057022
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\dat2\dat2_group_cache.c,247,0.034171,0.057014
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_sprite.c,506,0.033360,0.055661
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\painters_bucket.u.c,908,0.033254,0.055484
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,491,0.033219,0.055425
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\world_sharelight.u.c,231,0.033206,0.055404
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\flag_map.u.c,44,0.033203,0.055399
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,936,0.033201,0.055395
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,414,0.033201,0.055395
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,794,0.033199,0.055392
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,512,0.033199,0.055392
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.h,88,0.033198,0.055390
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_cs2_run.c,2455,0.033197,0.055389
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span_uv.h,117,0.033175,0.055352
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1117,0.031733,0.052946
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,534,0.031264,0.052164
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\rsbuffer.c,763,0.031263,0.052162
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,567,0.031257,0.052152
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,90,0.031251,0.052142
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,1128,0.031251,0.052142
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span_uv.h,80,0.031248,0.052137
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,438,0.031247,0.052135
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,57,0.031242,0.052127
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,523,0.031228,0.052104
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,970,0.031185,0.052032
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\rsbuffer.c,761,0.030314,0.050579
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,257,0.030265,0.050497
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1361,0.030263,0.050493
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,223,0.029417,0.049082
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,130,0.029308,0.048900
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,299,0.029299,0.048885
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span_uv.h,55,0.029298,0.048883
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw.c,692,0.029296,0.048880
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\datatypes\sound_render.c,114,0.029294,0.048877
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,810,0.029294,0.048877
