source,line,exclusive_seconds,exclusive_percent
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,445,0.029288,0.048854
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1649,0.029285,0.048849
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,553,0.029281,0.048843
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,10126,0.029255,0.048799
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_gameproto_exec.c,671,0.028325,0.047248
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1377,0.028321,0.047241
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,174,0.028317,0.047235
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,2380,0.027364,0.045645
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1049,0.027362,0.045642
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_font.c,838,0.027360,0.045638
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,8706,0.027357,0.045633
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1225,0.027351,0.045623
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,1366,0.027350,0.045622
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1487,0.027350,0.045622
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,707,0.027349,0.045620
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\flat\flat_screen_edges.h,18,0.027345,0.045613
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,3211,0.027345,0.045613
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,599,0.027341,0.045607
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world.c,619,0.027341,0.045607
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,2727,0.027332,0.045592
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,139,0.027331,0.045590
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\uitree_from_component.c,242,0.027329,0.045586
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.c,46,0.026377,0.043999
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\input\torirs_input_cmd.c,11,0.026371,0.043988
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\revisions\rev_dat1_lc254.c,18,0.026357,0.043965
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,76,0.025408,0.042382
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_sprite.c,482,0.025406,0.042379
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\task_plugin_io.c,202,0.025401,0.042370
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1013,0.025401,0.042370
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,470,0.025401,0.042370
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,454,0.025399,0.042367
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,137,0.025395,0.042360
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,10298,0.025382,0.042339
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\heightmap.c,48,0.025377,0.042330
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world.c,626,0.025371,0.042320
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,270,0.024428,0.040747
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\world_scenery.u.c,2303,0.024422,0.040737
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,147,0.024406,0.040711
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,499,0.023522,0.039236
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,378,0.023474,0.039156
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,503,0.023462,0.039136
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1287,0.023456,0.039126
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,555,0.023455,0.039124
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_model.c,41,0.023455,0.039124
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,8754,0.023447,0.039111
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,423,0.023446,0.039109
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\int_wrap.h,43,0.023446,0.039109
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,434,0.023445,0.039108
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,1191,0.023442,0.039103
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,238,0.023440,0.039099
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\painters_bucket.u.c,74,0.023440,0.039099
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,56,0.023440,0.039099
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\painters_bucket.u.c,356,0.023436,0.039093
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,1663,0.023435,0.039091
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\config\i386\cygwin.S,143,0.023431,0.039084
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,453,0.023429,0.039081
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1230,0.023411,0.039051
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_exec_entity_info.c,860,0.022469,0.037480
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\miniz\miniz.c,2828,0.022455,0.037456
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,4297,0.022449,0.037446
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,453,0.021563,0.035968
